iter	Passed	Remaining
0	168	62234
1	330	60887
2	491	60182
3	654	59879
4	813	59414
5	979	59427
6	1139	59084
7	1301	58886
8	1459	58552
9	1619	58319
10	1775	57955
11	1941	57919
12	2098	57629
13	2264	57581
14	2429	57508
15	2591	57337
16	2754	57186
17	2911	56943
18	3076	56827
19	3233	56590
20	3393	56391
21	3553	56209
22	3717	56087
23	3878	55909
24	4045	55825
25	4209	55692
26	4368	55492
27	4532	55364
28	4702	55294
29	4862	55112
30	5023	54938
31	5183	54753
32	5345	54585
33	5506	54418
34	5667	54248
35	5832	54108
36	5995	53956
37	6150	53732
38	6307	53533
39	6459	53292
40	6619	53119
41	6777	52927
42	6938	52767
43	7100	52607
44	7257	52418
45	7416	52235
46	7579	52091
47	7736	51900
48	7897	51736
49	8049	51517
50	8204	51317
51	8365	51156
52	8519	50958
53	8679	50788
54	8843	50649
55	9002	50476
56	9161	50308
57	9316	50114
58	9469	49916
59	9629	49751
60	9787	49580
61	9945	49406
62	10105	49244
63	10266	49087
64	10424	48915
65	10584	48754
66	10751	48621
67	10916	48483
68	11072	48302
69	11231	48133
70	11387	47954
71	11553	47817
72	11714	47658
73	11874	47499
74	12038	47352
75	12238	47342
76	12409	47220
77	12572	47067
78	12735	46912
79	12889	46724
80	13044	46542
81	13209	46394
82	13369	46229
83	13522	46039
84	13676	45857
85	13833	45683
86	13993	45520
87	14153	45356
88	14314	45196
89	14474	45030
90	14636	44873
91	14788	44686
92	14951	44533
93	15110	44366
94	15269	44199
95	15432	44046
96	15595	43891
97	15756	43731
98	15916	43569
99	16079	43415
100	16237	43246
101	16398	43086
102	16560	42929
103	16722	42771
104	16880	42602
105	17038	42435
106	17199	42274
107	17365	42128
108	17528	41971
109	17690	41813
110	17852	41656
111	18012	41492
112	18166	41317
113	18328	41159
114	18484	40988
115	18640	40815
116	18797	40646
117	18957	40485
118	19118	40325
119	19274	40155
120	19435	39994
121	19599	39841
122	19757	39676
123	19917	39514
124	20073	39343
125	20233	39182
126	20391	39016
127	20549	38851
128	20714	38698
129	20881	38549
130	21047	38399
131	21207	38237
132	21369	38078
133	21532	37923
134	21693	37761
135	21850	37596
136	22004	37423
137	22166	37264
138	22324	37101
139	22488	36946
140	22649	36784
141	22806	36619
142	22963	36452
143	23121	36287
144	23276	36119
145	23442	35967
146	23598	35799
147	23761	35642
148	23924	35485
149	24079	35316
150	24234	35148
151	24392	34984
152	24552	34822
153	24712	34662
154	24871	34498
155	25031	34338
156	25187	34172
157	25347	34010
158	25508	33850
159	25668	33690
160	25830	33531
161	25996	33378
162	26155	33216
163	26315	33055
164	26476	32895
165	26629	32724
166	26782	32556
167	26942	32394
168	27097	32228
169	27255	32065
170	27411	31900
171	27570	31738
172	27739	31588
173	27904	31433
174	28063	31270
175	28221	31107
176	28380	30945
177	28541	30786
178	28699	30623
179	28861	30464
180	29018	30301
181	29173	30135
182	29329	29970
183	29493	29813
184	29656	29656
185	29818	29497
186	29977	29335
187	30137	29175
188	30298	29015
189	30456	28853
190	30616	28693
191	30777	28533
192	30936	28371
193	31096	28211
194	31259	28053
195	31419	27892
196	31579	27731
197	31740	27572
198	31894	27406
199	32055	27247
200	32214	27085
201	32378	26928
202	32547	26775
203	32707	26614
204	32862	26450
205	33019	26287
206	33182	26129
207	33344	25969
208	33504	25809
209	33669	25652
210	33826	25490
211	33988	25331
212	34146	25168
213	34300	25003
214	34453	24838
215	34612	24677
216	34777	24520
217	34936	24359
218	35094	24197
219	35247	24032
220	35406	23871
221	35560	23707
222	35720	23546
223	35871	23380
224	36021	23213
225	36177	23051
226	36341	22893
227	36493	22728
228	36646	22563
229	36804	22402
230	36961	22241
231	37119	22079
232	37272	21915
233	37430	21754
234	37583	21590
235	37742	21430
236	37895	21266
237	38043	21099
238	38194	20935
239	38350	20773
240	38507	20612
241	38665	20450
242	38818	20287
243	38971	20124
244	39123	19960
245	39277	19798
246	39430	19635
247	39583	19472
248	39737	19310
249	39890	19147
250	40046	18985
251	40205	18826
252	40357	18663
253	40512	18501
254	40666	18339
255	40820	18177
256	40972	18015
257	41122	17851
258	41285	17693
259	41439	17531
260	41588	17368
261	41744	17207
262	41891	17043
263	42051	16884
264	42212	16725
265	42370	16565
266	42533	16408
267	42692	16248
268	42844	16086
269	42998	15925
270	43150	15763
271	43303	15602
272	43459	15441
273	43617	15282
274	43780	15124
275	43938	14964
276	44096	14804
277	44251	14644
278	44406	14483
279	44561	14323
280	44719	14163
281	44872	14002
282	45030	13843
283	45183	13682
284	45339	13522
285	45498	13363
286	45659	13204
287	45820	13046
288	45978	12886
289	46139	12728
290	46291	12566
291	46449	12407
292	46606	12248
293	46762	12088
294	46914	11927
295	47065	11766
296	47219	11606
297	47374	11446
298	47529	11286
299	47679	11125
300	47837	10966
301	48001	10808
302	48150	10647
303	48297	10485
304	48451	10325
305	48605	10165
306	48764	10007
307	48923	9848
308	49079	9688
309	49237	9529
310	49397	9371
311	49560	9213
312	49722	9054
313	49878	8895
314	50036	8736
315	50195	8577
316	50353	8418
317	50516	8260
318	50673	8101
319	50836	7943
320	50988	7783
321	51141	7623
322	51306	7465
323	51459	7305
324	51616	7146
325	51772	6987
326	51928	6828
327	52085	6669
328	52236	6509
329	52389	6350
330	52545	6191
331	52711	6033
332	52871	5874
333	53026	5715
334	53185	5556
335	53342	5397
336	53504	5239
337	53663	5080
338	53820	4921
339	53979	4762
340	54141	4604
341	54301	4445
342	54466	4287
343	54630	4129
344	54790	3970
345	54948	3811
346	55108	3652
347	55265	3493
348	55421	3334
349	55582	3176
350	55742	3017
351	55897	2858
352	56055	2699
353	56209	2540
354	56366	2381
355	56531	2223
356	56687	2064
357	56841	1905
358	56997	1746
359	57150	1587
360	57308	1428
361	57470	1270
362	57628	1111
363	57792	952
364	57947	793
365	58112	635
366	58271	476
367	58426	317
368	58588	158
369	58756	0
