	Accuracy	Precision	Recall	F1_score
NB_fold_0	0.3836	0.6804	0.3836	0.4048
LR_fold_0	0.6406	0.8392	0.6406	0.7025
MLP_fold_0	0.6113	0.8269	0.6113	0.6812
DT_fold_0	0.9236	0.935	0.9236	0.9276
CatB_fold_0	0.9117	0.9248	0.9117	0.9174
LightB_fold_0	0.8636	0.8791	0.8636	0.8699
NB_fold_1	0.3499	0.6641	0.3499	0.3553
LR_fold_1	0.6442	0.8428	0.6442	0.7068
MLP_fold_1	0.5868	0.8335	0.5868	0.6729
DT_fold_1	0.9253	0.9369	0.9253	0.929
CatB_fold_1	0.9164	0.929	0.9164	0.9216
LightB_fold_1	0.7615	0.7652	0.7615	0.7544
NB_fold_2	0.3625	0.6408	0.3625	0.3572
LR_fold_2	0.6439	0.8386	0.6439	0.7041
MLP_fold_2	0.6185	0.8272	0.6185	0.6883
DT_fold_2	0.9256	0.9364	0.9256	0.9292
CatB_fold_2	0.9126	0.9274	0.9126	0.9187
LightB_fold_2	0.7427	0.7278	0.7427	0.7324
NB_fold_3	0.3615	0.569	0.3615	0.3729
LR_fold_3	0.6396	0.8368	0.6396	0.7005
MLP_fold_3	0.612	0.8288	0.612	0.683
DT_fold_3	0.9236	0.935	0.9236	0.927
CatB_fold_3	0.9076	0.9224	0.9076	0.9135
LightB_fold_3	0.7422	0.7531	0.7422	0.7357
NB_fold_4	0.3876	0.69	0.3876	0.4109
LR_fold_4	0.6425	0.8406	0.6425	0.7044
MLP_fold_4	0.6115	0.8425	0.6115	0.6888
DT_fold_4	0.9275	0.939	0.9275	0.9317
CatB_fold_4	0.9121	0.9261	0.9121	0.9177
LightB_fold_4	0.6583	0.6677	0.6583	0.6252
