	Accuracy	Precision	Recall	F1_score
MLP_fold_0	0.6433	0.794	0.6433	0.6858
DT_fold_0	0.9661	0.9658	0.9661	0.9656
CatB_fold_0	0.9734	0.9731	0.9734	0.9731
LightB_fold_0	0.9743	0.9742	0.9743	0.9741
LR_fold_0	0.6413	0.8394	0.6413	0.703
NB_fold_0	0.4611	0.7312	0.4611	0.497
MLP_fold_1	0.6449	0.8439	0.6449	0.7076
DT_fold_1	0.9685	0.9688	0.9685	0.9683
CatB_fold_1	0.9752	0.9751	0.9752	0.975
LightB_fold_1	0.9766	0.9765	0.9766	0.9765
LR_fold_1	0.6445	0.8427	0.6445	0.7069
NB_fold_1	0.4613	0.7231	0.4613	0.4977
MLP_fold_2	0.6409	0.8101	0.6409	0.697
DT_fold_2	0.9677	0.9677	0.9677	0.9675
CatB_fold_2	0.9743	0.974	0.9743	0.974
LightB_fold_2	0.9756	0.9755	0.9756	0.9755
LR_fold_2	0.6443	0.8385	0.6443	0.7042
NB_fold_2	0.4603	0.7251	0.4603	0.4964
MLP_fold_3	0.6352	0.8288	0.6352	0.6925
DT_fold_3	0.9667	0.9663	0.9667	0.966
CatB_fold_3	0.974	0.9737	0.974	0.9736
LightB_fold_3	0.975	0.9748	0.975	0.9748
LR_fold_3	0.6399	0.837	0.6399	0.7009
NB_fold_3	0.4597	0.7325	0.4597	0.4971
MLP_fold_4	0.6422	0.8262	0.6422	0.6942
DT_fold_4	0.9676	0.9676	0.9676	0.9672
CatB_fold_4	0.9722	0.9719	0.9722	0.9718
LightB_fold_4	0.9748	0.9747	0.9748	0.9746
LR_fold_4	0.6431	0.8408	0.6431	0.7048
NB_fold_4	0.4599	0.7279	0.4599	0.4962
