	Accuracy	Precision	Recall	F1_score
DT_fold_0	0.9666	0.9663	0.9666	0.9661
CatB_fold_0	0.9363	0.9452	0.9363	0.9396
LightB_fold_0	0.9744	0.9742	0.9744	0.9742
DT_fold_1	0.9683	0.9685	0.9683	0.9681
CatB_fold_1	0.9423	0.9495	0.9423	0.9447
LightB_fold_1	0.9763	0.9762	0.9763	0.9762
DT_fold_2	0.9677	0.9677	0.9677	0.9675
CatB_fold_2	0.9392	0.9485	0.9392	0.9426
LightB_fold_2	0.975	0.9749	0.975	0.9749
DT_fold_3	0.9653	0.965	0.9653	0.9648
CatB_fold_3	0.9379	0.9461	0.9379	0.9407
LightB_fold_3	0.9746	0.9744	0.9746	0.9743
DT_fold_4	0.9679	0.9679	0.9679	0.9675
CatB_fold_4	0.9394	0.9459	0.9394	0.9412
LightB_fold_4	0.9743	0.9743	0.9743	0.9742
